Iteration 1, loss = 0.41549988
Iteration 90, loss = 0.34098243
Iteration 91, loss = 0.34130228
Iteration 92, loss = 0.34079337
Iteration 93, loss = 0.34061869
Iteration 94, loss = 0.34018156
Iteration 95, loss = 0.34053854
Iteration 96, loss = 0.33986964
Iteration 97, loss = 0.34005959
Iteration 98, loss = 0.33892677
Iteration 99, loss = 0.33922646
Iteration 100, loss = 0.33845466
Iteration 101, loss = 0.33830855
Iteration 102, loss = 0.33790017
Iteration 103, loss = 0.33805887
Iteration 104, loss = 0.33709322
Iteration 105, loss = 0.33779654
Iteration 106, loss = 0.33762565
Iteration 107, loss = 0.33722682
Iteration 108, loss = 0.33664134
Iteration 109, loss = 0.33615723
Iteration 110, loss = 0.33568100
Iteration 111, loss = 0.33592627
Iteration 112, loss = 0.33505782
Iteration 113, loss = 0.33638869
Iteration 114, loss = 0.33598025
Iteration 115, loss = 0.33460185
Iteration 116, loss = 0.33480937
Iteration 117, loss = 0.33503259
Iteration 118, loss = 0.33316927
Iteration 119, loss = 0.33404422
Iteration 120, loss = 0.33327278
Iteration 121, loss = 0.33348564
Iteration 122, loss = 0.33293053
Iteration 123, loss = 0.33285469
Iteration 124, loss = 0.33265514
Iteration 125, loss = 0.33209669
Iteration 126, loss = 0.33266558
Iteration 127, loss = 0.33052696
Iteration 128, loss = 0.33209664
Iteration 129, loss = 0.33057737
Iteration 130, loss = 0.33033481
Iteration 131, loss = 0.33151974
Iteration 132, loss = 0.33131743
Iteration 133, loss = 0.33046576
Iteration 134, loss = 0.33110558
Iteration 135, loss = 0.32946559
Iteration 136, loss = 0.32877155
Iteration 137, loss = 0.32896733
Iteration 138, loss = 0.32961364
Iteration 139, loss = 0.32945277
Iteration 140, loss = 0.32824312
Iteration 141, loss = 0.32799636
Iteration 142, loss = 0.32870826
Iteration 143, loss = 0.32742074
Iteration 144, loss = 0.32765861
Iteration 145, loss = 0.32709317
Iteration 146, loss = 0.32685344
Iteration 147, loss = 0.32656683
Iteration 148, loss = 0.32723586
Iteration 149, loss = 0.32629745
Iteration 150, loss = 0.32627297
Iteration 151, loss = 0.32521826
Iteration 152, loss = 0.32576671
Iteration 153, loss = 0.32502585
Iteration 154, loss = 0.32413153
Iteration 155, loss = 0.32462804
Iteration 156, loss = 0.32468777
Iteration 157, loss = 0.32570900
Iteration 158, loss = 0.32498065
Iteration 159, loss = 0.32339123
Iteration 160, loss = 0.32397339
Iteration 161, loss = 0.32291257
Iteration 162, loss = 0.32329719
Iteration 163, loss = 0.32245502
Iteration 164, loss = 0.32298400
Iteration 165, loss = 0.32215390
Iteration 166, loss = 0.32316507
Iteration 167, loss = 0.32126827
Iteration 168, loss = 0.32173604
Iteration 169, loss = 0.32126160
Iteration 170, loss = 0.32083373
Iteration 171, loss = 0.32053542
Iteration 172, loss = 0.32097793
Iteration 173, loss = 0.32064581
Iteration 174, loss = 0.32040445
Iteration 175, loss = 0.32013668
Iteration 176, loss = 0.31999226
Iteration 177, loss = 0.31911591
Iteration 178, loss = 0.31939431
Iteration 179, loss = 0.31924812
Iteration 180, loss = 0.31900508
Iteration 181, loss = 0.31778715
Iteration 182, loss = 0.31927216
Iteration 183, loss = 0.31818591
Iteration 184, loss = 0.31726401
Iteration 185, loss = 0.31757938
Iteration 186, loss = 0.31750835
Iteration 187, loss = 0.31655597
Iteration 188, loss = 0.31774890
Iteration 189, loss = 0.31698676
Iteration 190, loss = 0.31555362
Iteration 191, loss = 0.31588990
Iteration 192, loss = 0.31556124
Iteration 193, loss = 0.31560478
Iteration 194, loss = 0.31523890
Iteration 195, loss = 0.31567593
Iteration 196, loss = 0.31562908
Iteration 197, loss = 0.31392594
Iteration 198, loss = 0.31534181
Iteration 199, loss = 0.31519036
Iteration 200, loss = 0.31314747
Iteration 201, loss = 0.31338935
Iteration 202, loss = 0.31363501
Iteration 203, loss = 0.31320066
Iteration 204, loss = 0.31451994
Iteration 205, loss = 0.31426816
Iteration 206, loss = 0.31277161
Iteration 207, loss = 0.31214215
Iteration 208, loss = 0.31173556
Iteration 209, loss = 0.31351975
Iteration 210, loss = 0.31278263
Iteration 211, loss = 0.31075016
Iteration 212, loss = 0.31139316
Iteration 213, loss = 0.31221516
Iteration 214, loss = 0.31156798
Iteration 215, loss = 0.31056883
Iteration 216, loss = 0.31072177
Iteration 217, loss = 0.31048897
Iteration 218, loss = 0.30985865
Iteration 219, loss = 0.30975774
Iteration 220, loss = 0.31081506
Iteration 221, loss = 0.31042125
Iteration 222, loss = 0.31029070
Iteration 223, loss = 0.30938887
Iteration 224, loss = 0.31008276
Iteration 225, loss = 0.30896875
Iteration 226, loss = 0.30858582
Iteration 227, loss = 0.30765260
Iteration 228, loss = 0.30793840
Iteration 229, loss = 0.30978410
Iteration 230, loss = 0.30646605
Iteration 231, loss = 0.30706289
Iteration 232, loss = 0.30633387
Iteration 233, loss = 0.30712368
Iteration 234, loss = 0.30656178
Iteration 235, loss = 0.30621978
Iteration 236, loss = 0.30601747
Iteration 237, loss = 0.30520644
Iteration 238, loss = 0.30688057
Iteration 239, loss = 0.30586365
Iteration 240, loss = 0.30557527
Iteration 241, loss = 0.30539254
Iteration 242, loss = 0.30538972
Iteration 243, loss = 0.30488949
Iteration 244, loss = 0.30428453
Iteration 245, loss = 0.30478614
Iteration 246, loss = 0.30448302
Iteration 247, loss = 0.30402531
Iteration 248, loss = 0.30417993
Iteration 249, loss = 0.30379813
Iteration 250, loss = 0.30381481
Iteration 251, loss = 0.30295722
Iteration 252, loss = 0.30417435
Iteration 253, loss = 0.30316186
Iteration 254, loss = 0.30233297
Iteration 255, loss = 0.30358173
Iteration 256, loss = 0.30269496
Iteration 257, loss = 0.30183964
Iteration 258, loss = 0.30281847
Iteration 259, loss = 0.30219823
Iteration 260, loss = 0.30174891
Iteration 261, loss = 0.30152248
Iteration 262, loss = 0.30137192
Iteration 263, loss = 0.30157154
Iteration 264, loss = 0.29974314
Iteration 265, loss = 0.30026625
Iteration 266, loss = 0.30032243
Iteration 267, loss = 0.30055192
Iteration 268, loss = 0.29896071
Iteration 269, loss = 0.30079612
Iteration 270, loss = 0.30018715
Iteration 271, loss = 0.29896887
Iteration 272, loss = 0.29982373
Iteration 273, loss = 0.30000225
Iteration 274, loss = 0.29836266
Iteration 275, loss = 0.29812451
Iteration 276, loss = 0.29846948
Iteration 277, loss = 0.29814302
Iteration 278, loss = 0.29885781
Iteration 279, loss = 0.29772892
Iteration 280, loss = 0.29674648
Iteration 281, loss = 0.29866760
Iteration 282, loss = 0.29833684
Iteration 283, loss = 0.29826071
Iteration 284, loss = 0.29789815
Iteration 285, loss = 0.29723485
Iteration 286, loss = 0.29723268
Iteration 287, loss = 0.29635988
Iteration 288, loss = 0.29636619
Iteration 289, loss = 0.29626974
Iteration 290, loss = 0.29571767
Iteration 291, loss = 0.29571856
Iteration 292, loss = 0.29616725
Iteration 293, loss = 0.29551945
Iteration 294, loss = 0.29457943
Iteration 295, loss = 0.29493867
Iteration 296, loss = 0.29509630
Iteration 297, loss = 0.29563528
Iteration 298, loss = 0.29322478
Iteration 299, loss = 0.29473440
Iteration 300, loss = 0.29489125
Iteration 301, loss = 0.29523981
Iteration 302, loss = 0.29508347
Iteration 303, loss = 0.29421194
Iteration 304, loss = 0.29275754
Iteration 305, loss = 0.29352580
Iteration 306, loss = 0.29230367
Iteration 307, loss = 0.29350717
Iteration 308, loss = 0.29541983
Iteration 309, loss = 0.29421266
Iteration 310, loss = 0.29286783
Iteration 311, loss = 0.29091781
Iteration 312, loss = 0.29223689
Iteration 313, loss = 0.29124255
Iteration 314, loss = 0.29122501
Iteration 315, loss = 0.29100383
Iteration 316, loss = 0.29067937
Iteration 317, loss = 0.29091453
Iteration 318, loss = 0.29016356
Iteration 319, loss = 0.29100013
Iteration 320, loss = 0.29257714
Iteration 321, loss = 0.29122658
Iteration 322, loss = 0.29126507
Iteration 323, loss = 0.29091347
Iteration 324, loss = 0.28896586
Iteration 325, loss = 0.28872130
Iteration 326, loss = 0.28960156
Iteration 327, loss = 0.28994778
Iteration 328, loss = 0.28878948
Iteration 329, loss = 0.28993161
Iteration 330, loss = 0.28833329
Iteration 331, loss = 0.28895530
Iteration 332, loss = 0.29028460
Iteration 333, loss = 0.28837550
Iteration 334, loss = 0.28874480
Iteration 335, loss = 0.28745404
Iteration 336, loss = 0.28903184
Iteration 337, loss = 0.28653414
Iteration 338, loss = 0.28792483
Iteration 339, loss = 0.28670650
Iteration 340, loss = 0.28753489
Iteration 341, loss = 0.28756843
Iteration 342, loss = 0.28853432
Iteration 343, loss = 0.28881909
Iteration 344, loss = 0.28611621
Iteration 345, loss = 0.28665486
Iteration 346, loss = 0.28815216
Iteration 347, loss = 0.28613786
Iteration 348, loss = 0.28629522
Iteration 349, loss = 0.28493375
Iteration 350, loss = 0.28458981
Iteration 351, loss = 0.28503517
Iteration 352, loss = 0.28679656
Iteration 353, loss = 0.28553371
Iteration 354, loss = 0.28492359
Iteration 355, loss = 0.28783130
Iteration 356, loss = 0.28515272
Iteration 357, loss = 0.28622647
Iteration 358, loss = 0.28535034
Iteration 359, loss = 0.28442004
Iteration 360, loss = 0.28463492
Iteration 361, loss = 0.28329838
Iteration 362, loss = 0.28360449
Iteration 363, loss = 0.28354323
Iteration 364, loss = 0.28627447
Iteration 365, loss = 0.28404186
Iteration 366, loss = 0.28310243
Iteration 367, loss = 0.28277772
Iteration 368, loss = 0.28350602
Iteration 369, loss = 0.28295917
Iteration 370, loss = 0.28471020
Iteration 371, loss = 0.28255774
Iteration 372, loss = 0.28304778
Iteration 373, loss = 0.28190888
Iteration 374, loss = 0.28357368
Iteration 375, loss = 0.28245304
Iteration 376, loss = 0.28159359
Iteration 377, loss = 0.28188008
Iteration 378, loss = 0.28142964
Iteration 379, loss = 0.28305530
Iteration 380, loss = 0.28167644
Iteration 381, loss = 0.28010273
Iteration 382, loss = 0.28045132
Iteration 383, loss = 0.28011001
Iteration 384, loss = 0.28289254
Iteration 385, loss = 0.28163670
Iteration 386, loss = 0.28134378
Iteration 387, loss = 0.27984320
Iteration 388, loss = 0.28148127
Iteration 389, loss = 0.28223857
Iteration 390, loss = 0.27909654
Iteration 391, loss = 0.28058203
Iteration 392, loss = 0.28050949
Iteration 393, loss = 0.27950034
Iteration 394, loss = 0.27985662
Iteration 395, loss = 0.27771397
Iteration 396, loss = 0.27849001
Iteration 397, loss = 0.27840003
Iteration 398, loss = 0.28019301
Iteration 399, loss = 0.27771868
Iteration 400, loss = 0.27870902
[[5002  451]
 [ 802  855]]
Accuracy = 0.8237693389592123
0.8890459939444638
